Player;Age;Tm;PER;TRB%;AST%;STL%;BLK%
Robert Hawkins;23;NJN;13.3;7.1;15.6;2.8;2
Brad Davis;22;LAL;10.5;5.4;29.1;2;0.3
Ernie DiGregorio;27;LAL;7.1;3.5;26.1;0.8;0
James Silas;28;SAS;13.3;3.9;14.9;1.6;0.2
Ted McClain;31;PHI;9.3;6.4;15;2.4;0.7
Mel Bennett;23;IND;7.6;15.9;9.6;1.7;1.3
Al Skinner;25;NJN;13.3;9.1;16;2;0.9
Ernie DiGregorio;27;BOS;10.1;5;34;2;0.2
Derrek Dickey;26;GSW;14;9.1;5.9;1.7;0.4
Marvin Barnes;25;DET;13;17.8;10.1;1.2;2.1
Willie Norwood;30;DET;10.4;10.9;7.1;2.2;0.6
Jim Eakins;31;SAS;11.1;9.6;8.1;0.5;2
Mike Green;26;SEA;14.2;11.2;5.7;1.1;2.8
Fred Saunders;26;BOS;4.1;7.7;6;1.3;0.8
Tom Boerwinkle;32;CHI;10.3;14.2;26.1;0.6;1
Derrek Dickey;26;CHI;6.1;11.9;6.3;0.9;0.5
Rudy White;24;HOU;6.4;5.1;13.4;1.7;0
Johnny Neumann;26;IND;7.4;3.2;17.3;1.2;0.2
Eddie Jordan;23;CLE;10.7;3.3;24.4;3.3;0.3
Claude Terry;28;ATL;6.9;4.9;6.1;1.7;0
Jim Eakins;31;MIL;11.5;9.9;9;1.1;2.3
Mark Crow;23;NJN;12.8;8.5;7.8;1.4;0.3
Zaid Abdul-Aziz;31;HOU;11.4;13.8;7;0.7;0.8
Don Chaney;31;LAL;7.2;4.2;15.1;2.7;1.1
Gary Brokaw;24;BUF;13.3;5;21.3;1.1;2
Kevin Porter;27;DET;13.3;6.2;36.1;1.8;0
Dave Wohl;28;NJN;1.5;1.6;14;1.1;0
Jim Ard;29;CHI;2.7;15;7.8;0;0
Scott Lloyd;25;MIL;7.3;12.3;9.5;1.2;2.3
Larry Moffett;23;HOU;4;10.1;7.5;0.9;1
Dale Schlueter;32;POR;6;10;19.9;1.3;1
Howard Porter;29;DET;7;8.3;2.5;1.2;2.4
Mike Dunleavy;23;HOU;15.7;4.7;29.7;3.7;0.5
Wally Walker;23;POR;9.5;8.8;11.1;0.9;0
Al Fleming;23;SEA;10.7;15.7;10.1;0;2.8
Scott Sims;22;SAS;5.2;7.2;24.7;1.4;0
Bobby Wilson;27;IND;6.6;6.8;12.9;1;0.6
Gus Gerard;24;BUF;13.5;8.8;15.7;1.1;1.8
Kevin Restani;26;MIL;10.8;8.8;13.5;0;0.6
Larry McNeill;27;GSW;6.5;10.6;3.7;0;0.8
Robin Jones;23;HOU;7.7;11.2;4.2;0.7;0.8
Eddie Owens;24;BUF;8.8;8.5;11;0.7;0
Rich Laurel;23;MIL;7.5;9.3;6.8;2.3;0.9
Louie Nelson;26;KCK;2.4;2.9;11.1;1.7;1
Jacky Dorsey;23;POR;14.4;10.2;8.1;0;1.1
Jim Bostic;25;DET;18.9;17.5;9.7;0;0
Wilson Washington;22;PHI;5.5;18.7;3.7;1.2;2.7
Larry Johnson;23;BUF;8;7.1;23.5;6.1;2.7
Jacky Dorsey;23;DEN;9.2;27.7;6.6;2.4;2.7
Ron Behagen;27;HOU;11.6;11.2;8.9;0;0
George Karl;26;SAS;3.4;8.7;18.7;1.5;0
Zaid Abdul-Aziz;31;BOS;11.5;31.8;16.5;1.9;2.1
Glenn Mosley;22;PHI;0.6;12.1;14.1;0;0
Phil Bond;23;HOU;5.3;10.1;11.9;2.3;0
Mike Dunleavy;23;PHI;17.4;3;47.8;2.6;0
Bob Bigelow;24;BOS;0.6;12;0;0;0
Wayman Britt;25;DET;13.5;13.1;17.7;2.8;0
Ticky Burden;24;NYK;6.9;0;7.5;2.9;0
Steve Kuberski;30;BOS;0.6;21.8;0;3.2;0
John Johnson;30;HOU;-2.6;14.5;11.3;0;0
Willie Wise;30;SEA;-5.9;15.3;0;0;0
Norm Cook;22;DEN;3.8;15.4;12.6;0;0
Andre McCarter;24;KCK;-7.2;5.7;0;0;0
Glenn Hansen;25;KCK;-10.9;5.7;12.2;4.9;0
Jim Ard;29;BOS;9.4;22.6;12.6;0;0
Dean Tolson;26;SEA;-7.1;0;32.8;0;0
Bob Bigelow;24;KCK;21.4;36.5;0;0;0
Willie Smith;24;IND;2;0;16.2;0;0
Glenn Hansen;25;CHI;-28.8;0;0;0;0
Moses Malone;23;HOU;23.7;23.2;5.9;1.1;1.8
Artis Gilmore;29;CHI;22.3;17.5;12.9;0.7;2.6
M.L. Carr;28;DET;16.3;9.5;10.8;2.8;0.7
Kareem Abdul-Jabbar;31;LAL;25.5;17.6;18.9;1.1;5
Norm Nixon;23;LAL;18.2;4;30.5;2.9;0.3
Randy Smith;30;SDC;16.6;5;17.6;2.6;0.1
Elvin Hayes;33;WSB;19.1;16.2;6.3;1.1;3
John Lucas;25;GSW;16.9;4.3;33;2.3;0.2
Kevin Porter;28;DET;17.2;3.5;47;2.3;0.1
Johnny Davis;23;IND;14.7;3.3;21.3;1.5;0.4
Cedric Maxwell;23;BOS;19.9;14.8;10.4;1.5;1.3
Jack Sikma;23;SEA;16.3;18;12.2;1.3;1.2
World B. Free;25;SDC;22.1;5.4;17.1;1.7;0.6
Larry Kenon;26;SAS;19.8;14.1;15.4;2.3;0.3
Calvin Murphy;30;HOU;16.1;3.2;17;1.8;0.1
Jamaal Wilkes;25;LAL;16.4;11.4;10.3;2.1;0.5
Sonny Parker;23;GSW;15.5;8.2;13.6;2.3;0.6
George Gervin;26;SAS;23.2;7.3;11.5;2.1;1.6
Bernard King;22;NJN;17.9;12.3;16.4;1.8;0.7
Campy Russell;27;CLE;18.6;9.6;17.6;1.6;0.5
Jim Chones;29;CLE;13.7;16.2;8.6;0.8;2
Otis Birdsong;23;KCK;18.4;6.8;14.4;2;0.3
Ricky Sobers;26;IND;14.8;5.5;22.4;2.2;0.4
Julius Erving;28;PHI;20.1;10.5;19.6;2.1;1.9
Tom Owens;29;POR;19.9;14.7;15.9;1;1.2
Marques Johnson;22;MIL;23.9;11.7;12.3;1.9;1.7
Kermit Washington;27;SDC;15;15.4;5.5;1.4;2.2
Reggie Theus;21;CHI;13.3;4.5;22.8;1.6;0.3
Dan Issel;30;DEN;18.3;14;13.3;1;0.9
Phil Ford;22;KCK;15.8;3.6;32.2;2.9;0.1
Dennis Johnson;24;SEA;15;7.2;14.5;1.7;1.9
Austin Carr;30;CLE;15.4;5.8;11.4;1.3;0.3
Rich Kelley;25;NOJ;19.9;18.5;14.4;2.1;3
Jim McElroy;25;NOJ;16.2;3.9;24.2;2.4;0.9
Alex English;25;IND;17.6;12.5;14.4;1.2;1.5
David Thompson;24;DEN;19.9;5.4;13.3;1.2;1.6
Toby Knight;23;NYK;15.3;11.1;6.6;1;1.2
Nick Weatherspoon;28;SDC;12.7;9.1;6.7;1.4;0.7
Rudy Tomjanovich;30;HOU;16.4;11.8;7.3;0.8;0.4
Paul Westphal;28;PHO;22.6;3.3;29.9;1.9;0.5
Bob Dandridge;31;WSB;19;8.6;19.1;1.2;1.1
Chris Ford;30;BOS;14.3;5.4;20.2;2;0.5
